Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Color,Season,Area
107,64,Male,Jacket,Outerwear,35,Minnesota,White,Summer,East
108,28,Male,Sneakers,Footwear,67,Maryland,Olive,Winter,East
109,70,Male,Socks,Clothing,79,Montana,Purple,Spring,West
110,58,Male,T-shirt,Clothing,85,Alabama,Violet,Spring,East
111,56,Male,Backpack,Accessories,26,New York,Black,Summer,East
112,26,Male,Belt,Accessories,75,Massachusetts,Purple,Summer,East
113,37,Male,Gloves,Accessories,65,Florida,Red,Spring,East
114,44,Male,Hat,Accessories,54,New Jersey,Maroon,Winter,East
115,70,Male,Coat,Outerwear,95,Massachusetts,Blue,Summer,East
116,53,Male,Skirt,Clothing,94,Wyoming,Gray,Spring,West
117,55,Male,Shoes,Footwear,86,Virginia,Blue,Spring,East
118,50,Male,Sandals,Footwear,32,South Dakota,Yellow,Summer,West
119,50,Male,Sweater,Clothing,45,Kentucky,Orange,Fall,East
120,38,Male,Coat,Outerwear,76,Wyoming,Orange,Fall,West
121,64,Male,Hat,Accessories,84,West Virginia,Red,Summer,East
122,19,Male,Shorts,Clothing,72,Virginia,Olive,Winter,East
123,40,Male,Backpack,Accessories,40,Washington,Brown,Spring,West
124,57,Male,Sweater,Clothing,89,Louisiana,Brown,Fall,East
125,44,Male,Sweater,Clothing,86,Nevada,Gray,Spring,West
126,49,Male,Shorts,Clothing,54,California,Indigo,Winter,West
127,43,Male,Shorts,Clothing,36,Mississippi,Pink,Spring,East
128,24,Male,Sweater,Clothing,89,Mississippi,Gray,Winter,East
129,20,Male,Scarf,Accessories,32,California,Gold,Spring,West
130,24,Male,Dress,Clothing,67,Pennsylvania,Olive,Summer,East
131,44,Male,Scarf,Accessories,39,Kentucky,Violet,Fall,East
132,28,Male,Skirt,Clothing,29,Maine,Indigo,Summer,East
133,30,Male,Backpack,Accessories,58,New Mexico,Orange,Fall,West
134,52,Male,Sweater,Clothing,65,Montana,Violet,Winter,West
135,43,Male,Hat,Accessories,94,Texas,Gray,Fall,West
136,43,Male,Sandals,Footwear,81,Kansas,Purple,Fall,West
137,39,Male,Blouse,Clothing,86,South Carolina,White,Winter,East
138,68,Male,Sneakers,Footwear,43,Colorado,Turquoise,Spring,West
139,68,Male,Skirt,Clothing,29,Georgia,Maroon,Winter,East
140,49,Male,Coat,Outerwear,95,Florida,White,Fall,East
141,63,Male,Shirt,Clothing,28,North Carolina,Yellow,Fall,East
142,56,Male,Gloves,Accessories,46,Virginia,Turquoise,Fall,East
143,37,Male,Jacket,Outerwear,58,Nebraska,Violet,Fall,West
144,30,Male,Coat,Outerwear,48,Missouri,Beige,Fall,East
145,19,Male,Shoes,Footwear,43,New Jersey,Silver,Fall,East
146,24,Male,Jewelry,Accessories,95,Missouri,Teal,Fall,East
147,52,Male,Skirt,Clothing,30,Colorado,Black,Fall,West
148,63,Male,Shoes,Footwear,64,Idaho,Purple,Summer,West
149,37,Male,Gloves,Accessories,90,Wyoming,Gray,Fall,West
150,38,Male,Pants,Clothing,76,Delaware,White,Summer,East
151,35,Male,Boots,Footwear,96,California,Cyan,Fall,West
152,28,Male,Sunglasses,Accessories,47,North Dakota,Turquoise,Fall,West
153,30,Male,Shirt,Clothing,85,South Carolina,Brown,Summer,East
154,69,Male,Hoodie,Clothing,55,North Carolina,Maroon,Winter,East
155,41,Male,Dress,Clothing,98,Oklahoma,Charcoal,Fall,West
156,63,Male,Socks,Clothing,77,Maine,Olive,Spring,East
157,35,Male,Shorts,Clothing,26,Missouri,Lavender,Fall,East
158,36,Male,Hat,Accessories,68,Vermont,Yellow,Fall,East
159,25,Male,Shirt,Clothing,73,Connecticut,Teal,Fall,East
160,58,Male,Gloves,Accessories,27,New Hampshire,Charcoal,Fall,East
161,27,Male,Gloves,Accessories,23,Texas,Orange,Summer,West
162,65,Male,Backpack,Accessories,49,North Dakota,Olive,Fall,West
163,54,Male,Sunglasses,Accessories,74,California,Turquoise,Summer,West
164,54,Male,Skirt,Clothing,67,Virginia,Purple,Summer,East
165,59,Male,Handbag,Accessories,65,Delaware,Purple,Spring,East
166,42,Male,Handbag,Accessories,60,Kentucky,Yellow,Winter,East
167,46,Male,Sneakers,Footwear,31,Delaware,Indigo,Fall,East
168,33,Male,Gloves,Accessories,27,Arkansas,Green,Fall,East
169,34,Male,Shoes,Footwear,80,Louisiana,Magenta,Summer,East
170,27,Male,Jacket,Outerwear,30,Nevada,Gold,Summer,West
171,52,Male,Shirt,Clothing,25,Wyoming,Maroon,Fall,West
172,29,Male,Shorts,Clothing,35,Virginia,Blue,Summer,East
173,54,Male,Jewelry,Accessories,67,Nebraska,Violet,Summer,West
175,41,Male,Shoes,Footwear,35,Vermont,Brown,Winter,East
176,53,Male,Coat,Outerwear,86,Oklahoma,Violet,Fall,West
177,53,Male,Backpack,Accessories,81,New Hampshire,Black,Spring,East
178,21,Male,Hoodie,Clothing,42,Kansas,Magenta,Fall,West
179,61,Male,Skirt,Clothing,43,Idaho,Lavender,Fall,West
180,64,Male,Boots,Footwear,31,Illinois,Violet,Fall,East
181,51,Male,Sandals,Footwear,81,South Dakota,Green,Fall,West
182,32,Male,Pants,Clothing,61,Massachusetts,Beige,Summer,East
183,38,Male,Gloves,Accessories,96,Alabama,Purple,Summer,East
184,58,Male,Skirt,Clothing,29,Ohio,Beige,Spring,East
186,46,Male,T-shirt,Clothing,32,Wisconsin,Silver,Summer,East
187,39,Male,Backpack,Accessories,56,Minnesota,Lavender,Summer,East
188,19,Male,Shoes,Footwear,94,Georgia,Purple,Spring,East
189,50,Male,Hoodie,Clothing,53,Arkansas,Pink,Spring,East
190,36,Male,Blouse,Clothing,82,West Virginia,Maroon,Fall,East
191,65,Male,Coat,Outerwear,70,Indiana,Beige,Fall,East
192,64,Male,Hat,Accessories,76,Utah,Gray,Fall,West
193,46,Male,Shoes,Footwear,29,Nebraska,Turquoise,Summer,West
194,36,Male,Belt,Accessories,100,North Dakota,Silver,Fall,West
195,51,Male,Backpack,Accessories,94,Missouri,Olive,Spring,East
196,51,Male,Jacket,Outerwear,25,New York,Magenta,Fall,East
197,38,Male,Boots,Footwear,88,Washington,Lavender,Summer,West
198,59,Male,Scarf,Accessories,78,South Carolina,Black,Fall,East
199,57,Male,Jewelry,Accessories,45,Utah,Turquoise,Winter,West
200,54,Male,Hat,Accessories,73,Idaho,Green,Summer,West
201,25,Male,Dress,Clothing,61,Pennsylvania,Teal,Summer,East
202,69,Male,Blouse,Clothing,22,Missouri,Beige,Fall,East
203,57,Male,Hat,Accessories,38,Nebraska,Magenta,Spring,West
204,70,Male,Scarf,Accessories,38,Indiana,Yellow,Fall,East
205,24,Male,Sneakers,Footwear,100,Arizona,Yellow,Fall,West
207,24,Male,T-shirt,Clothing,55,Wisconsin,Silver,Summer,East
208,62,Male,Gloves,Accessories,91,Rhode Island,Silver,Summer,East
209,57,Male,Skirt,Clothing,38,Wisconsin,Gold,Spring,East
210,55,Male,Sandals,Footwear,97,Minnesota,Olive,Winter,East
211,45,Male,Jacket,Outerwear,22,Vermont,Teal,Fall,East
212,69,Male,Skirt,Clothing,92,South Dakota,Maroon,Fall,West
213,67,Male,Handbag,Accessories,84,Virginia,Blue,Fall,East
214,30,Male,Handbag,Accessories,93,Nevada,Peach,Fall,West
216,62,Male,Scarf,Accessories,64,New Jersey,Orange,Spring,East
217,43,Male,Shorts,Clothing,61,Massachusetts,Yellow,Spring,East
218,35,Male,Sunglasses,Accessories,48,Oklahoma,Purple,Winter,West
219,28,Male,T-shirt,Clothing,45,California,Magenta,Spring,West
220,32,Male,Belt,Accessories,88,Nevada,Cyan,Spring,West
221,39,Male,Sneakers,Footwear,57,Arizona,Indigo,Spring,West
222,28,Male,Hat,Accessories,68,North Carolina,Magenta,Summer,East
223,47,Male,Gloves,Accessories,94,New York,Gray,Spring,East
224,20,Male,Pants,Clothing,41,Wyoming,Turquoise,Spring,West
225,63,Male,Socks,Clothing,83,South Dakota,Beige,Summer,West
226,25,Male,Jacket,Outerwear,22,Arkansas,Olive,Spring,East
227,29,Male,Shoes,Footwear,74,Texas,Violet,Spring,West
228,50,Male,Jeans,Clothing,90,Rhode Island,Turquoise,Winter,East
229,18,Male,Socks,Clothing,79,New Hampshire,White,Spring,East
230,70,Male,Sandals,Footwear,28,Ohio,Silver,Spring,East
231,66,Male,Scarf,Accessories,88,Utah,Olive,Fall,West
232,28,Male,Blouse,Clothing,26,Tennessee,Blue,Spring,East
234,19,Male,Sweater,Clothing,83,Arizona,Yellow,Fall,West
235,20,Male,Gloves,Accessories,39,South Dakota,Silver,Summer,West
236,43,Male,Sunglasses,Accessories,89,New Jersey,Cyan,Winter,East
237,38,Male,Coat,Outerwear,68,North Dakota,Green,Winter,West
238,50,Male,Dress,Clothing,90,Iowa,Beige,Summer,East
239,64,Male,Skirt,Clothing,34,Ohio,Peach,Fall,East
240,49,Male,Pants,Clothing,51,Vermont,Yellow,Summer,East
241,47,Male,Sweater,Clothing,45,Montana,Turquoise,Winter,West
242,36,Male,Hoodie,Clothing,88,Delaware,Peach,Winter,East
243,55,Male,Coat,Outerwear,85,New York,Gray,Summer,East
244,25,Male,Jewelry,Accessories,100,Kentucky,Olive,Winter,East
245,53,Male,Belt,Accessories,42,Oregon,Indigo,Spring,West
246,49,Male,Sandals,Footwear,53,Rhode Island,Charcoal,Summer,East
247,35,Male,Sunglasses,Accessories,86,Nevada,Beige,Spring,West
248,29,Male,Sweater,Clothing,66,Montana,Brown,Spring,West
249,47,Male,Belt,Accessories,100,Pennsylvania,Blue,Winter,East
251,33,Male,Skirt,Clothing,25,Mississippi,Black,Fall,East
252,21,Male,Handbag,Accessories,51,Wyoming,Gold,Winter,West
253,32,Male,Shorts,Clothing,41,Delaware,Violet,Summer,East
254,52,Male,Boots,Footwear,73,Oklahoma,Cyan,Winter,West
255,67,Male,Sunglasses,Accessories,42,Indiana,White,Winter,East
256,43,Male,Scarf,Accessories,20,Maryland,Charcoal,Spring,East
257,58,Male,Jewelry,Accessories,30,South Dakota,Violet,Spring,West
258,20,Male,Handbag,Accessories,53,West Virginia,Red,Summer,East
259,61,Male,Gloves,Accessories,74,Alabama,Lavender,Spring,East
260,32,Male,Jeans,Clothing,57,Louisiana,Gold,Fall,East
261,38,Male,Hat,Accessories,57,Montana,Red,Winter,West
262,21,Male,Jeans,Clothing,77,California,Magenta,Winter,West
264,27,Male,Shorts,Clothing,46,Iowa,Purple,Summer,East
265,36,Male,Pants,Clothing,78,Colorado,Charcoal,Fall,West
266,32,Male,Backpack,Accessories,59,Michigan,Gray,Spring,East
267,51,Male,Jewelry,Accessories,75,Louisiana,White,Summer,East
268,64,Male,Sweater,Clothing,54,Maryland,Olive,Spring,East
269,68,Male,Shoes,Footwear,42,Georgia,Charcoal,Spring,East
270,68,Male,Blouse,Clothing,44,Georgia,Charcoal,Winter,East
271,33,Male,Jeans,Clothing,52,North Dakota,Orange,Fall,West
272,65,Male,Sunglasses,Accessories,69,Maryland,Yellow,Summer,East
273,48,Male,Jewelry,Accessories,26,Oregon,Beige,Summer,West
274,69,Male,Coat,Outerwear,33,North Dakota,Silver,Spring,West
275,59,Male,Jewelry,Accessories,32,Maryland,Indigo,Spring,East
276,48,Male,Backpack,Accessories,85,Virginia,Lavender,Winter,East
277,25,Male,Skirt,Clothing,30,South Dakota,Turquoise,Fall,West
278,29,Male,Shirt,Clothing,29,Georgia,Green,Winter,East
280,23,Male,Sneakers,Footwear,69,Arkansas,Turquoise,Summer,East
281,45,Male,Sandals,Footwear,69,Montana,Cyan,Fall,West
282,38,Male,Belt,Accessories,61,Oklahoma,Charcoal,Spring,West
283,21,Male,Skirt,Clothing,94,Minnesota,Teal,Summer,East
284,32,Male,Sweater,Clothing,30,Montana,Maroon,Fall,West
285,63,Male,Skirt,Clothing,45,Ohio,Red,Summer,East
286,29,Male,Handbag,Accessories,39,Kentucky,Yellow,Summer,East
287,27,Male,Jewelry,Accessories,51,Nebraska,Gray,Summer,West
288,56,Male,Scarf,Accessories,37,Delaware,Blue,Spring,East
289,30,Male,T-shirt,Clothing,62,North Carolina,Lavender,Winter,East
290,49,Male,Coat,Outerwear,85,New York,Yellow,Fall,East
291,58,Male,T-shirt,Clothing,33,Colorado,Indigo,Winter,West
292,57,Male,Dress,Clothing,26,Delaware,Violet,Fall,East
293,60,Male,Shoes,Footwear,99,Utah,Green,Spring,West
294,69,Male,Handbag,Accessories,39,Connecticut,White,Spring,East
295,70,Male,Skirt,Clothing,20,New Jersey,Gold,Spring,East
296,53,Male,Sunglasses,Accessories,42,West Virginia,Indigo,Winter,East
297,25,Male,Sandals,Footwear,74,Indiana,Lavender,Spring,East
298,48,Male,Shoes,Footwear,26,Delaware,Purple,Summer,East
299,69,Male,T-shirt,Clothing,53,Maryland,Lavender,Winter,East
300,25,Male,Sneakers,Footwear,80,Pennsylvania,Maroon,Summer,East
301,29,Male,Hat,Accessories,98,Iowa,Teal,Spring,East
302,46,Male,Skirt,Clothing,95,Pennsylvania,Green,Spring,East
303,37,Male,Sweater,Clothing,44,Delaware,Olive,Summer,East
304,20,Male,Sandals,Footwear,60,Oregon,Turquoise,Summer,West
305,40,Male,Dress,Clothing,84,Oregon,Green,Winter,West
306,60,Male,Sweater,Clothing,59,Utah,Teal,Fall,West
307,26,Male,Jacket,Outerwear,49,North Dakota,White,Summer,West
308,29,Male,Gloves,Accessories,32,Florida,Orange,Winter,East
309,66,Male,Handbag,Accessories,29,Maryland,Beige,Fall,East
310,66,Male,Dress,Clothing,22,Minnesota,Yellow,Spring,East
311,56,Male,Pants,Clothing,85,Montana,Charcoal,Winter,West
312,69,Male,Jeans,Clothing,52,Rhode Island,Silver,Winter,East
313,38,Male,Pants,Clothing,89,Massachusetts,Green,Spring,East
314,42,Male,Dress,Clothing,77,Vermont,Pink,Spring,East
315,30,Male,Pants,Clothing,24,New Jersey,Purple,Summer,East
316,66,Male,Jewelry,Accessories,24,Wisconsin,Orange,Spring,East
317,36,Male,Handbag,Accessories,22,California,Charcoal,Fall,West
318,58,Male,Sweater,Clothing,82,West Virginia,Teal,Fall,East
319,45,Male,Backpack,Accessories,67,South Dakota,Beige,Winter,West
320,47,Male,Shorts,Clothing,74,Maine,White,Spring,East
321,66,Male,Jewelry,Accessories,72,Kansas,White,Summer,West
322,41,Male,Sneakers,Footwear,36,Vermont,Orange,Summer,East
323,41,Male,Belt,Accessories,95,Tennessee,Cyan,Winter,East
324,66,Male,Hoodie,Clothing,78,Tennessee,Orange,Winter,East
325,37,Male,Shirt,Clothing,82,Wyoming,Olive,Summer,West
326,70,Male,Pants,Clothing,70,Vermont,Charcoal,Winter,East
327,62,Male,Scarf,Accessories,41,New Jersey,White,Fall,East
328,61,Male,Coat,Outerwear,42,Iowa,Teal,Summer,East
329,48,Male,Coat,Outerwear,50,Florida,Yellow,Fall,East
330,70,Male,Socks,Clothing,31,Nevada,White,Summer,West
331,46,Male,Sweater,Clothing,51,North Dakota,Beige,Winter,West
332,31,Male,Shirt,Clothing,98,Florida,Beige,Fall,East
333,19,Male,Shirt,Clothing,86,New York,Maroon,Winter,East
335,41,Male,Blouse,Clothing,46,Kansas,Lavender,Fall,West
336,20,Male,Sweater,Clothing,85,Oregon,Maroon,Spring,West
337,36,Male,Hat,Accessories,81,Rhode Island,Orange,Fall,East
338,32,Male,Sweater,Clothing,59,New Mexico,Cyan,Winter,West
339,69,Male,Hoodie,Clothing,79,Massachusetts,Silver,Winter,East
340,40,Male,Shorts,Clothing,33,Pennsylvania,Teal,Spring,East
341,40,Male,Shorts,Clothing,47,New Jersey,Blue,Summer,East
342,20,Male,Hat,Accessories,20,Utah,Blue,Summer,West
343,64,Male,Coat,Outerwear,36,Kentucky,Olive,Spring,East
344,27,Male,Sandals,Footwear,39,Nebraska,Purple,Summer,West
345,24,Male,Skirt,Clothing,71,Virginia,Charcoal,Winter,East
346,48,Male,Shoes,Footwear,59,Wyoming,Olive,Winter,West
347,49,Male,Jeans,Clothing,50,New Mexico,Violet,Spring,West
348,36,Male,Sandals,Footwear,41,Oregon,Red,Fall,West
349,56,Male,Blouse,Clothing,59,South Carolina,Beige,Fall,East
350,37,Male,Hat,Accessories,87,Arizona,Green,Winter,West
351,42,Male,Sweater,Clothing,68,Kentucky,Violet,Spring,East
352,28,Male,Skirt,Clothing,90,New York,Teal,Winter,East
353,27,Male,Jeans,Clothing,71,Texas,Yellow,Fall,West
354,63,Male,Sneakers,Footwear,64,Missouri,Yellow,Fall,East
355,58,Male,Jewelry,Accessories,76,Pennsylvania,Olive,Fall,East
356,37,Male,Jewelry,Accessories,42,Oregon,Magenta,Fall,West
357,56,Male,Pants,Clothing,80,Nevada,Black,Spring,West
358,18,Male,Belt,Accessories,56,Arkansas,Olive,Spring,East
359,48,Male,Hat,Accessories,25,Minnesota,Magenta,Summer,East
360,31,Male,Sneakers,Footwear,74,Georgia,Olive,Winter,East
361,51,Male,Pants,Clothing,30,Rhode Island,Teal,Summer,East
362,65,Male,T-shirt,Clothing,96,Nevada,White,Spring,West
363,53,Male,Sneakers,Footwear,64,Texas,Charcoal,Fall,West
364,55,Male,Shorts,Clothing,88,Florida,Yellow,Winter,East
365,62,Male,Shoes,Footwear,88,North Dakota,Charcoal,Summer,West
366,55,Male,Gloves,Accessories,88,West Virginia,Gray,Summer,East
367,64,Male,Socks,Clothing,36,Nebraska,Turquoise,Spring,West
368,52,Male,Dress,Clothing,40,Tennessee,Cyan,Spring,East
369,24,Male,Handbag,Accessories,39,Oklahoma,Charcoal,Spring,West
370,38,Male,Belt,Accessories,40,Wisconsin,Silver,Summer,East
371,59,Male,Scarf,Accessories,34,Oregon,Olive,Winter,West
372,27,Male,Sneakers,Footwear,83,North Carolina,Pink,Winter,East
373,24,Male,Sweater,Clothing,85,Pennsylvania,Orange,Summer,East
374,23,Male,Coat,Outerwear,27,North Dakota,White,Summer,West
375,69,Male,Jewelry,Accessories,78,Ohio,Purple,Spring,East
376,59,Male,Sunglasses,Accessories,32,Oklahoma,Olive,Summer,West
377,51,Male,Shoes,Footwear,51,South Carolina,Gray,Fall,East
378,63,Male,Scarf,Accessories,32,Maine,Silver,Spring,East
379,54,Male,Dress,Clothing,62,Nevada,Orange,Winter,West
380,32,Male,T-shirt,Clothing,29,Montana,Magenta,Fall,West
381,39,Male,Backpack,Accessories,69,New Hampshire,Beige,Fall,East
382,66,Male,Jewelry,Accessories,25,Maine,Lavender,Winter,East
383,28,Male,Jeans,Clothing,76,California,Peach,Winter,West
384,50,Male,Sunglasses,Accessories,77,West Virginia,Magenta,Fall,East
385,70,Male,Sweater,Clothing,33,California,Beige,Fall,West
386,67,Male,Shorts,Clothing,93,West Virginia,Yellow,Fall,East
387,64,Male,Jewelry,Accessories,39,Louisiana,Brown,Spring,East
388,45,Male,Coat,Outerwear,93,Georgia,Silver,Summer,East
389,22,Male,Handbag,Accessories,82,Washington,Orange,Summer,West
390,27,Male,Boots,Footwear,42,Virginia,Purple,Spring,East
391,25,Male,Gloves,Accessories,71,Indiana,Indigo,Winter,East
392,37,Male,Sweater,Clothing,86,Minnesota,Gray,Spring,East
393,26,Male,T-shirt,Clothing,82,Idaho,Black,Spring,West
394,33,Male,Shoes,Footwear,65,Vermont,Maroon,Fall,East
395,43,Male,Scarf,Accessories,29,North Dakota,Beige,Spring,West
396,37,Male,Sneakers,Footwear,65,Rhode Island,Brown,Winter,East
397,46,Male,Dress,Clothing,88,South Carolina,Black,Fall,East
398,22,Male,Belt,Accessories,46,Mississippi,Indigo,Fall,East
399,20,Male,Boots,Footwear,67,Montana,Silver,Winter,West
400,60,Male,Scarf,Accessories,35,Idaho,Blue,Fall,West
401,39,Male,Boots,Footwear,66,Utah,Green,Winter,West
402,43,Male,T-shirt,Clothing,91,Oklahoma,Orange,Fall,West
403,31,Male,Backpack,Accessories,78,California,Cyan,Fall,West
404,19,Male,Sneakers,Footwear,45,Nevada,Orange,Winter,West
405,35,Male,T-shirt,Clothing,93,Delaware,Indigo,Spring,East
406,41,Male,Jeans,Clothing,74,South Carolina,Silver,Summer,East
407,52,Male,Gloves,Accessories,55,Maryland,Peach,Spring,East
408,45,Male,Hoodie,Clothing,76,North Carolina,Teal,Spring,East
409,34,Male,Sneakers,Footwear,66,Alabama,White,Spring,East
410,35,Male,Shorts,Clothing,51,Minnesota,Brown,Winter,East
411,29,Male,Sweater,Clothing,26,Virginia,Lavender,Spring,East
412,59,Male,Jeans,Clothing,29,Michigan,Indigo,Summer,East
413,24,Male,Jacket,Outerwear,74,Maine,Yellow,Summer,East
414,70,Male,Jewelry,Accessories,99,Nevada,White,Summer,West
